ORACLE_EU_PE1_EIGRP_ROUTER#sh ip route EIGRP
     10.0.0.0/8 is variably subnetted, 58 subnets, 2 masks
D       172.18.18.0 [90/30720] via 192.168.18.38, 00:01:54, GigabitEthernet3/0
D       172.18.20.0 [90/30720] via 192.168.18.38, 00:01:54, GigabitEthernet3/0
D       172.18.22.0 [90/30720] via 192.168.18.38, 00:01:54, GigabitEthernet3/0
D       172.18.32.0 [90/30720] via 192.168.18.18, 00:01:47, GigabitEthernet0/0
D       172.18.34.0 [90/30720] via 192.168.18.18, 00:01:47, GigabitEthernet0/0
D       172.18.36.0 [90/30720] via 192.168.18.18, 00:01:47, GigabitEthernet0/0
D       172.18.38.0 [90/30720] via 192.168.18.18, 00:01:47, GigabitEthernet0/0
D EX    172.18.64.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.66.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.68.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.70.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.80.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.82.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.84.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.86.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.96.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.98.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.100.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.102.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.128.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.130.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.132.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.134.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.144.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.146.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.148.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.150.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.152.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.154.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.156.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.160.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.162.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.164.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX    172.18.166.0 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX 192.16.18.0/24 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D EX 192.32.18.0/24 [170/28672] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
     192.168.18.0/30 is subnetted, 15 subnets
D       192.168.18.4 [90/3072] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D       192.168.18.8 [90/25628160] via 192.168.18.42, 00:01:55, GigabitEthernet1/0
                     [90/25628160] via 192.168.18.18, 00:01:47, GigabitEthernet0/0
D       192.168.18.12 [90/25628160] via 192.168.18.42, 00:01:55, GigabitEthernet1/0
                      [90/25628160] via 192.168.18.38, 00:01:54, GigabitEthernet3/0
D       192.168.18.20 [90/5376] via 192.168.18.1, 00:02:20, GigabitEthernet2/0
D       192.168.18.24 [90/5632] via 192.168.18.1, 00:02:20, GigabitEthernet2/0
D       192.168.18.28 [90/5376] via 192.168.18.1, 00:02:27, GigabitEthernet2/0
D       192.168.18.32 [90/5632] via 192.168.18.1, 00:02:26, GigabitEthernet2/0
D       192.168.18.44 [90/5376] via 192.168.18.1, 00:02:26, GigabitEthernet2/0
D       192.168.18.48 [90/5632] via 192.168.18.1, 00:02:26, GigabitEthernet2/0
D       192.168.18.52 [90/3328] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
D       192.168.18.56 [90/3072] via 192.168.18.1, 00:02:40, GigabitEthernet2/0
